DateKey,Date,Day,Weeknbr,Month,MonthShrt,MonthNo,Qtr,Year
20220101,1/1/2022,Saturday,1,January,Jan,1,1,2022
20220102,1/2/2022,Sunday,2,January,Jan,1,1,2022
20220103,1/3/2022,Monday,2,January,Jan,1,1,2022
20220104,1/4/2022,Tuesday,2,January,Jan,1,1,2022
20220105,1/5/2022,Wednesday,2,January,Jan,1,1,2022
20220106,1/6/2022,Thursday,2,January,Jan,1,1,2022
20220107,1/7/2022,Friday,2,January,Jan,1,1,2022
20220108,1/8/2022,Saturday,2,January,Jan,1,1,2022
20220109,1/9/2022,Sunday,3,January,Jan,1,1,2022
20220110,1/10/2022,Monday,3,January,Jan,1,1,2022
20220111,1/11/2022,Tuesday,3,January,Jan,1,1,2022
20220112,1/12/2022,Wednesday,3,January,Jan,1,1,2022
20220113,1/13/2022,Thursday,3,January,Jan,1,1,2022
20220114,1/14/2022,Friday,3,January,Jan,1,1,2022
20220115,1/15/2022,Saturday,3,January,Jan,1,1,2022
20220116,1/16/2022,Sunday,4,January,Jan,1,1,2022
20220117,1/17/2022,Monday,4,January,Jan,1,1,2022
20220118,1/18/2022,Tuesday,4,January,Jan,1,1,2022
20220119,1/19/2022,Wednesday,4,January,Jan,1,1,2022
20220120,1/20/2022,Thursday,4,January,Jan,1,1,2022
20220121,1/21/2022,Friday,4,January,Jan,1,1,2022
20220122,1/22/2022,Saturday,4,January,Jan,1,1,2022
20220123,1/23/2022,Sunday,5,January,Jan,1,1,2022
20220124,1/24/2022,Monday,5,January,Jan,1,1,2022
20220125,1/25/2022,Tuesday,5,January,Jan,1,1,2022
20220126,1/26/2022,Wednesday,5,January,Jan,1,1,2022
20220127,1/27/2022,Thursday,5,January,Jan,1,1,2022
20220128,1/28/2022,Friday,5,January,Jan,1,1,2022
20220129,1/29/2022,Saturday,5,January,Jan,1,1,2022
20220130,1/30/2022,Sunday,6,January,Jan,1,1,2022
20220131,1/31/2022,Monday,6,January,Jan,1,1,2022
20220201,2/1/2022,Tuesday,6,February,Feb,2,1,2022
20220202,2/2/2022,Wednesday,6,February,Feb,2,1,2022
20220203,2/3/2022,Thursday,6,February,Feb,2,1,2022
20220204,2/4/2022,Friday,6,February,Feb,2,1,2022
20220205,2/5/2022,Saturday,6,February,Feb,2,1,2022
20220206,2/6/2022,Sunday,7,February,Feb,2,1,2022
20220207,2/7/2022,Monday,7,February,Feb,2,1,2022
20220208,2/8/2022,Tuesday,7,February,Feb,2,1,2022
20220209,2/9/2022,Wednesday,7,February,Feb,2,1,2022
20220210,2/10/2022,Thursday,7,February,Feb,2,1,2022
